order_id,customer_id,customer_email,phone,product,amount,quantity,order_date,status
1074,CUST0073,user73@example.com,+91-7698594025,Keyboard,27517.15,5,2024-03-14,shipped
1075,CUST0074,user74@example.com,+91-8589915144,Monitor,-5957.96,4,2024-03-15,pending
1076,CUST0075,user75@example.com,+91-8525876051,Laptop,21575.22,8,2024-03-16,shipped
1077,CUST0076,user76@example.com,+91-7899825838,Laptop,15696.38,8,2024-03-17,delivered
1078,CUST0077,,+91-9878380452,Keyboard,12607.94,7,2024-03-18,delivered
1079,,user78@example.com,+91-8146660997,Headset,15734.09,3,2024-03-19,pending
1080,CUST0079,user79@example.com,+91-9935814872,Headset,-900.55,1,2024-03-20,delivered
1081,CUST0080,user80@example.com,+91-9783290795,Keyboard,13242.62,1,2024-03-21,delivered
1082,CUST0081,user81@example.com,+91-7306671447,Mouse,-2945.88,3,2024-03-22,cancelled
1083,CUST0082,user82@example.com,+91-9616197747,Laptop,26823.15,6,2024-03-23,shipped
1084,,user83@example.com,+91-9727210979,Mouse,10853.84,7,2024-03-24,delivered
1085,,user84@example.com,+91-7735034881,USB Hub,8532.05,6,2024-03-25,delivered
1086,,user85@example.com,+91-9294113287,Laptop,10985.94,6,2024-03-26,shipped
1087,CUST0086,user86@example.com,+91-8051454923,Laptop,22323.22,6,2024-03-27,delivered
1088,CUST0087,user87@example.com,+91-7701808367,Webcam,-3289.52,3,2024-03-28,delivered
1089,CUST0088,user88@example.com,+91-8985392498,Monitor,10761.92,6,2024-03-29,shipped
1090,CUST0089,user89@example.com,+91-8629748727,Headset,19106.14,8,2024-03-30,cancelled
1091,,user90@example.com,+91-8159417075,Laptop,15776.62,2,2024-01-01,delivered
1092,CUST0091,,+91-9748778024,Headset,22749.16,5,2024-01-02,shipped
1093,CUST0092,user92@example.com,+91-9955633092,USB Hub,9383.58,1,2024-01-03,delivered
1094,CUST0093,user93@example.com,+91-9392080953,Headset,12378.7,1,2024-01-04,delivered
1095,CUST0094,user94@example.com,+91-7943239974,Mouse,11863.13,5,2024-01-05,cancelled
1096,CUST0095,,+91-9940395823,Mouse,3291.88,3,2024-01-06,pending
1097,CUST0096,user96@example.com,+91-8392783743,Webcam,17368.96,4,2024-01-07,pending
1098,CUST0097,user97@example.com,+91-7240251661,Monitor,17088.44,3,2024-01-08,shipped
1099,CUST0098,user98@example.com,+91-7983753977,USB Hub,15040.91,1,2024-01-09,pending
1100,CUST0099,user99@example.com,+91-7137869475,Mouse,13123.3,1,2024-01-10,shipped
1101,CUST0100,user100@example.com,+91-8354860540,Keyboard,3677.03,5,2024-01-11,pending
1102,CUST0101,user101@example.com,+91-8722989659,USB Hub,11634.84,6,2024-01-12,cancelled
1103,CUST0102,user102@example.com,+91-8149938334,Headset,12258.28,3,2024-01-13,shipped
1104,,user103@example.com,+91-7284277889,USB Hub,8581.78,9,2024-01-14,pending
1105,,user104@example.com,+91-7906164396,Monitor,13709.71,5,2024-01-15,cancelled
1106,CUST0105,user105@example.com,+91-9436019774,Mouse,18232.41,8,2024-01-16,pending
1107,,user106@example.com,+91-8351531223,USB Hub,30089.49,1,2024-01-17,delivered
1108,CUST0107,user107@example.com,+91-7913224047,Headset,16396.62,5,2024-01-18,delivered
1109,CUST0108,user108@example.com,+91-9815087637,Webcam,17060.4,3,2024-01-19,cancelled
1110,CUST0109,user109@example.com,+91-9144181937,Webcam,-6765.68,1,2024-01-20,delivered
1111,CUST0110,user110@example.com,+91-8699226064,Mouse,-350.17,4,2024-01-21,delivered
1112,CUST0111,user111@example.com,+91-9761027762,Webcam,14787.89,5,2024-01-22,shipped
1113,,user112@example.com,+91-8970753705,Keyboard,15481.84,7,2024-01-23,pending
1114,CUST0113,,+91-7613628803,Monitor,34705.94,1,2024-01-24,shipped
1115,CUST0114,user114@example.com,+91-8137651678,Webcam,13461.11,3,2024-01-25,pending
1116,CUST0115,user115@example.com,+91-7599707677,Webcam,17412.38,2,2024-01-26,delivered
1117,CUST0116,user116@example.com,+91-8059257080,Keyboard,14722.31,9,2024-01-27,shipped
1118,CUST0117,user117@example.com,+91-9411057787,Monitor,5650.58,6,2024-01-28,pending
1119,CUST0118,user118@example.com,+91-9314889832,USB Hub,24142.58,3,2024-01-29,pending
1120,,user119@example.com,+91-8128466620,Monitor,21015.46,8,2024-01-30,shipped
1065,CUST0064,user64@example.com,+91-8242911821,Mouse,21500.21,2,2024-03-05,cancelled
1063,CUST0062,user62@example.com,+91-9840104345,USB Hub,6149.32,9,2024-03-03,delivered
1033,CUST0032,user32@example.com,+91-9998485882,Webcam,14892.02,7,2024-02-02,cancelled
1116,CUST0115,user115@example.com,+91-7599707677,Webcam,17412.38,2,2024-01-26,delivered
1117,CUST0116,user116@example.com,+91-8059257080,Keyboard,14722.31,9,2024-01-27,shipped
1109,CUST0108,user108@example.com,+91-9815087637,Webcam,17060.4,3,2024-01-19,cancelled
1007,CUST0006,user6@example.com,+91-7599310825,Mouse,27633.7,6,2024-01-07,shipped
1012,CUST0011,user11@example.com,+91-9536146025,Headset,11274.16,3,2024-01-12,shipped
